"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"doParallel","doParallel","C:/Program Files/R/R-4.1.2/library","1.0.16",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.1.1"
"dplyr","dplyr","C:/Program Files/R/R-4.1.2/library","1.0.7",NA,"R (>= 3.3.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5), pillar
(>= 1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"DT","DT","C:/Program Files/R/R-4.1.2/library","0.20",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"dtplyr","dtplyr","C:/Program Files/R/R-4.1.2/library","1.1.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"dygraphs","dygraphs","C:/Program Files/R/R-4.1.2/library","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"e1071","e1071","C:/Program Files/R/R-4.1.2/library","1.7-9",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"earth","earth","C:/Program Files/R/R-4.1.2/library","5.3.1",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.6.0),
TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.20), mgcv (>= 1.8-26), mda (>= 0.5-2), MASS (>=
7.3-51)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"ellipsis","ellipsis","C:/Program Files/R/R-4.1.2/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"emoGG","emoGG","C:/Program Files/R/R-4.1.2/library","0.0.2",NA,"R (>= 3.2.2), ggplot2 (>= 1.0.1.9003)","grid, RCurl, png, proto",NA,NA,NA,"MIT",NA,NA,NA,NA,"no","4.1.2"
"equatiomatic","equatiomatic","C:/Program Files/R/R-4.1.2/library","0.3.1",NA,"R (>= 3.3.0)","broom (>= 0.7.0), broom.mixed, shiny, knitr, stats, utils",NA,"covr, shinyWidgets, forecast (>= 8.13), ggplot2 (>= 3.3.3),
latex2exp (>= 0.4.0), lme4, MASS, ordinal, rmarkdown, testthat
(>= 3.0.0), texPreview, gtsummary",NA,"CC BY 4.0",NA,NA,NA,NA,"no","4.1.2"
"estatapi","estatapi","C:/Program Files/R/R-4.1.2/library","0.4.0",NA,"R (>= 3.3)","httr, purrr (>= 0.2), readr (>= 0.2), dplyr (>= 0.5.0),
tibble, rlang",NA,"testthat, keyring",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"evaluate","evaluate","C:/Program Files/R/R-4.1.2/library","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"extrafont","extrafont","C:/Program Files/R/R-4.1.2/library","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"extrafontdb","extrafontdb","C:/Program Files/R/R-4.1.2/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.1"
"fansi","fansi","C:/Program Files/R/R-4.1.2/library","0.5.0",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"farver","farver","C:/Program Files/R/R-4.1.2/library","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"fastGHQuad","fastGHQuad","C:/Program Files/R/R-4.1.2/library","1.0",NA,"Rcpp (>= 0.11.0)",NA,"Rcpp",NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"fastmap","fastmap","C:/Program Files/R/R-4.1.2/library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"flexsurv","flexsurv","C:/Program Files/R/R-4.1.2/library","2.1",NA,"survival, R (>= 2.15.0)","assertthat, deSolve, generics, magrittr, mstate (>= 0.2.10),
Matrix, muhaz, mvtnorm, numDeriv, quadprog, Rcpp (>= 0.11.5),
rlang, rstpm2, purrr, tibble, tidyr, dplyr, tidyselect","Rcpp","colorspace, eha, ggplot2, knitr, msm, testthat, TH.data",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"FNN","FNN","C:/Program Files/R/R-4.1.2/library","1.1.3.1",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"fontawesome","fontawesome","C:/Program Files/R/R-4.1.2/library","0.2.2",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, knitr, testthat, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"forcats","forcats","C:/Program Files/R/R-4.1.2/library","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"foreach","foreach","C:/Program Files/R/R-4.1.2/library","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.1"
"foreign","foreign","C:/Program Files/R/R-4.1.2/library","0.8-81","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"Formula","Formula","C:/Program Files/R/R-4.1.2/library","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.1"
"fs","fs","C:/Program Files/R/R-4.1.2/library","1.5.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"furrr","furrr","C:/Program Files/R/R-4.1.2/library","0.2.3",NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 1.0.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), withr, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"future","future","C:/Program Files/R/R-4.1.2/library","1.23.0",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.26.1), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"future.apply","future.apply","C:/Program Files/R/R-4.1.2/library","1.8.1",NA,"R (>= 3.2.0), future (>= 1.21.0)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gargle","gargle","C:/Program Files/R/R-4.1.2/library","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"GeneralizedHyperbolic","GeneralizedHyperbolic","C:/Program Files/R/R-4.1.2/library","0.8-4",NA,"R (>= 3.0.1)","DistributionUtils, MASS",NA,"VarianceGamma, actuar, SkewHyperbolic, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"generics","generics","C:/Program Files/R/R-4.1.2/library","0.1.1",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"geodaData","geodaData","C:/Program Files/R/R-4.1.2/library","0.1.0",NA,"R (>= 3.3.0)",NA,NA,"sf",NA,"CC0",NA,NA,NA,NA,"no","4.1.3"
"geojson","geojson","C:/Program Files/R/R-4.1.2/library","0.3.4",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"geojsonio","geojsonio","C:/Program Files/R/R-4.1.2/library","0.9.4",NA,"R (>= 2.10)","methods, sp, sf (>= 0.6), geojsonsf, rgeos, crul, maptools,
jsonlite (>= 0.9.21), magrittr, readr (>= 0.2.2), V8, geojson
(>= 0.2.0), jqr",NA,"gistr, testthat, leaflet, maps, DBI, RPostgres","RColorBrewer","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"geojsonlint","geojsonlint","C:/Program Files/R/R-4.1.2/library","0.4.0",NA,"R (>= 2.10)","crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"geojsonsf","geojsonsf","C:/Program Files/R/R-4.1.2/library","2.0.1",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"geometries","geometries","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,NA,"Rcpp","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"geostan","geostan","C:/Program Files/R/R-4.1.2/library","0.2.1",NA,"R (>= 3.4.0)","spdep (>= 1.1-8), sf, ggplot2 (>= 3.0.0), methods, graphics,
stats, MASS, truncnorm, signs, gridExtra, utils, Matrix (>=
1.3), Rcpp (>= 0.12.0), RcppParallel (>= 5.0.1), rstan (>=
2.18.1), rstantools (>= 2.1.1)","BH (>= 1.66.0), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1), rstan (>= 2.18.1), StanHeaders (>=
2.18.0)","testthat, knitr, rmarkdown, bayesplot",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.3"
"gert","gert","C:/Program Files/R/R-4.1.2/library","1.4.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"ggalt","ggalt","C:/Program Files/R/R-4.1.2/library","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"AGPL + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"ggforce","ggforce","C:/Program Files/R/R-4.1.2/library","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"ggfortify","ggfortify","C:/Program Files/R/R-4.1.2/library","0.4.14",NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, dlm, fGarch, forecast,
ggrepel, glmnet, grDevices, KFAS, knitr, lintr, mapdata,
markdown, MASS, MSwM, nlme, raster, ROCR, sp, stats,
strucchange, survival, timeSeries, tseries, utils, vars, xts,
zoo, lfda",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ggfun","ggfun","C:/Program Files/R/R-4.1.2/library","0.0.4",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"ggimage","ggimage","C:/Program Files/R/R-4.1.2/library","0.3.0",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools, utils",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"ggmap","ggmap","C:/Program Files/R/R-4.1.2/library","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"ggmice","ggmice","C:/Program Files/R/R-4.1.2/library","0.0.1",NA,NA,"dplyr, ggplot2, magrittr, mice, purrr, rlang, stats, stringr,
tidyr, utils",NA,"covr, knitr, plotly, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.3"
"ggpattern","ggpattern","C:/Program Files/R/R-4.1.2/library","0.4.3-3",NA,NA,"ggplot2, glue, grid, gridpattern (>= 0.5.2-1), rlang, scales,",NA,"ambient, dplyr, gganimate, knitr, magick, mapproj, maps, png,
ragg (>= 1.2.0), readr, rmarkdown, sf (>= 0.7-3), testthat (>=
2.1.0), vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ggplot2","ggplot2","C:/Program Files/R/R-4.1.2/library","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"ggplotify","ggplotify","C:/Program Files/R/R-4.1.2/library","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"ggraph","ggraph","C:/Program Files/R/R-4.1.2/library","2.0.5",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"ggrepel","ggrepel","C:/Program Files/R/R-4.1.2/library","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"ggridges","ggridges","C:/Program Files/R/R-4.1.2/library","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ggsn","ggsn","C:/Program Files/R/R-4.1.2/library","0.5.0",NA,"R (>= 3.4), ggplot2, grid","sf, png, maptools, ggmap, graphics, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"ggthemes","ggthemes","C:/Program Files/R/R-4.1.2/library","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.3"
"gh","gh","C:/Program Files/R/R-4.1.2/library","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"gitcreds","gitcreds","C:/Program Files/R/R-4.1.2/library","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"globals","globals","C:/Program Files/R/R-4.1.2/library","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"glue","glue","C:/Program Files/R/R-4.1.2/library","1.4.2",NA,"R (>= 3.2)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"googledrive","googledrive","C:/Program Files/R/R-4.1.2/library","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"googlePolylines","googlePolylines","C:/Program Files/R/R-4.1.2/library","0.8.2",NA,NA,"Rcpp (>= 0.12.13)","Rcpp, BH","covr, knitr, rmarkdown, sf, sfheaders, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"googlesheets4","googlesheets4","C:/Program Files/R/R-4.1.2/library","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"gower","gower","C:/Program Files/R/R-4.1.2/library","0.2.2",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"GPArotation","GPArotation","C:/Program Files/R/R-4.1.2/library","2014.11-1",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"GPfit","GPfit","C:/Program Files/R/R-4.1.2/library","1.0-8",NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"graph","graph","C:/Program Files/R/R-4.1.2/library","1.72.0",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"graphics","graphics","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,"grDevices",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"graphlayouts","graphlayouts","C:/Program Files/R/R-4.1.2/library","0.8.0",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"gRbase","gRbase","C:/Program Files/R/R-4.1.2/library","1.8.7",NA,"R (>= 3.6.0), methods","BiocManager, graph, RBGL, Rgraphviz, stats4, igraph, magrittr,
Matrix, Rcpp (>= 0.11.1)","Rcpp (>= 0.11.1), RcppEigen, RcppArmadillo","testthat (>= 2.1.0), microbenchmark, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"grDevices","grDevices","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"grid","grid","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"gridExtra","gridExtra","C:/Program Files/R/R-4.1.2/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gridGraphics","gridGraphics","C:/Program Files/R/R-4.1.2/library","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"gridpattern","gridpattern","C:/Program Files/R/R-4.1.2/library","0.5.4-1",NA,"R (>= 3.4.0)","glue, grDevices, grid, memoise, png, rlang, sf, utils",NA,"ambient, knitr, magick, ragg (>= 1.2.0), rmarkdown, svglite
(>= 2.1.0), testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"gt","gt","C:/Program Files/R/R-4.1.2/library","0.3.1",NA,"R (>= 3.2.0)","base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
commonmark (>= 1.7), dplyr (>= 0.8.5), fs (>= 1.3.2), ggplot2
(>= 3.3.0), glue (>= 1.3.2), htmltools (>= 0.5.0), magrittr (>=
1.5), rlang (>= 0.4.5), sass (>= 0.1.1), scales (>= 1.1.0),
stringr (>= 1.3.1), tibble (>= 3.0.0), tidyselect (>= 1.0.0)",NA,"covr, knitr, paletteer, testthat (>= 2.1.0), RColorBrewer,
rmarkdown, rvest, shiny, tidyr, webshot, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"gtable","gtable","C:/Program Files/R/R-4.1.2/library","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"gtools","gtools","C:/Program Files/R/R-4.1.2/library","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.3"
"gtsummary","gtsummary","C:/Program Files/R/R-4.1.2/library","1.5.1",NA,"R (>= 3.4)","broom (>= 0.7.11), broom.helpers (>= 1.6.0), cli (>= 2.3.0),
dplyr (>= 1.0.3), forcats (>= 0.5.0), glue (>= 1.4.1), gt (>=
0.3.1), knitr (>= 1.29), lifecycle (>= 0.2.0), purrr (>=
0.3.4), rlang (>= 0.4.10), stringr (>= 1.4.0), tibble (>=
3.0.3), tidyr (>= 1.1.1)",NA,"broom.mixed (>= 0.2.7), car (>= 3.0-11), covr, effectsize (>=
0.4.0), emmeans (>= 1.7.2), flextable (>= 0.5.10), geepack,
GGally (>= 2.1.0), Hmisc, huxtable (>= 5.0.0), insight (>=
0.14.4), kableExtra (>= 1.3.4), lme4, mgcv, mice (>= 3.10.0),
nnet, officer, parameters (>= 0.6.0), parsnip (>= 0.1.7),
rmarkdown, sandwich (>= 3.0.1), scales, smd (>= 0.6.6),
spelling (>= 2.2), survey, survival (>= 3.2-11), testthat (>=
3.0.4), workflows (>= 0.2.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"hardhat","hardhat","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,"R (>= 2.10)","glue, rlang (>= 0.4.2), tibble, vctrs (>= 0.3.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>=
2.1.0), usethis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"haven","haven","C:/Program Files/R/R-4.1.2/library","2.4.3",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, readr (>= 0.1.0), rlang (>=
0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","cpp11","cli, covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
